2024-01-01,Delhi,12,5
2024-01-02,Delhi,14,6
2024-01-03,Delhi,10,3
2024-01-04,Mumbai,28,20
2024-01-05,Mumbai,30,22
2024-01-06,Bangalore,25,18
2024-01-07,Bangalore,26,19
2024-01-08,Chennai,32,25
2024-01-09,Chennai,33,26
2024-01-10,Delhi,8,1
2024-01-11,Mumbai,31,23
2024-01-12,Bangalore,24,17
2024-01-13,Chennai,34,27
2024-01-14,Delhi,6,-1
2024-01-15,Delhi,4,-2
2024-06-15,Delhi,45.5,32
2024-01-01,Delhi,12,5
2024-01-02,Delhi,14,6
2024-01-03,Delhi,10,3
2024-01-04,Mumbai,28,20
2024-01-05,Mumbai,30,22
2024-01-06,Bangalore,25,18
2024-01-07,Bangalore,26,19
2024-01-08,Chennai,32,25
2024-01-09,Chennai,33,26
2024-01-10,Delhi,8,1
2024-01-11,Mumbai,31,23
2024-01-12,Bangalore,24,17
2024-01-13,Chennai,34,27
2024-01-14,Delhi,6,-1
2024-01-15,Delhi,4,-2
2024-06-15,Delhi,45.5,32
2024-01-01,Delhi,12,5
2024-01-02,Delhi,14,6
2024-01-03,Delhi,10,3
2024-01-04,Mumbai,28,20
2024-01-05,Mumbai,30,22
2024-01-06,Bangalore,25,18
2024-01-07,Bangalore,26,19
2024-01-08,Chennai,32,25
2024-01-09,Chennai,33,26
2024-01-10,Delhi,8,1
2024-01-11,Mumbai,31,23
2024-01-12,Bangalore,24,17
2024-01-13,Chennai,34,27
2024-01-14,Delhi,6,-1
2024-01-15,Delhi,4,-2
2024-06-15,Delhi,45.5,32
2024-01-01,Delhi,12,5
2024-01-02,Delhi,14,6
2024-01-03,Delhi,10,3
2024-01-04,Mumbai,28,20
2024-01-05,Mumbai,30,22
2024-01-06,Bangalore,25,18
2024-01-07,Bangalore,26,19
2024-01-08,Chennai,32,25
2024-01-09,Chennai,33,26
2024-01-10,Delhi,8,1
2024-01-11,Mumbai,31,23
2024-01-12,Bangalore,24,17
2024-01-13,Chennai,34,27
2024-01-14,Delhi,6,-1
2024-01-15,Delhi,4,-2
2024-06-15,Delhi,45.5,32
2024-01-01,Delhi,12,5
2024-01-02,Delhi,14,6
2024-01-03,Delhi,10,3
2024-01-04,Mumbai,28,20
2024-01-05,Mumbai,30,22
2024-01-06,Bangalore,25,18
2024-01-07,Bangalore,26,19
2024-01-08,Chennai,32,25
2024-01-09,Chennai,33,26
2024-01-10,Delhi,8,1
2024-01-11,Mumbai,31,23
2024-01-12,Bangalore,24,17
2024-01-13,Chennai,34,27
2024-01-14,Delhi,6,-1
2024-01-15,Delhi,4,-2
2024-06-15,Delhi,45.5,32
2024-01-01,Delhi,12,5
2024-01-02,Delhi,14,6
2024-01-03,Delhi,10,3
2024-01-04,Mumbai,28,20
2024-01-05,Mumbai,30,22
2024-01-06,Bangalore,25,18
2024-01-07,Bangalore,26,19
2024-01-08,Chennai,32,25
2024-01-09,Chennai,33,26
2024-01-10,Delhi,8,1
2024-01-11,Mumbai,31,23
2024-01-12,Bangalore,24,17
2024-01-13,Chennai,34,27
2024-01-14,Delhi,6,-1
2024-01-15,Delhi,4,-2
2024-06-15,Delhi,45.5,32
2024-01-01,Delhi,12,5
2024-01-02,Delhi,14,6
2024-01-03,Delhi,10,3
2024-01-04,Mumbai,28,20
2024-01-05,Mumbai,30,22
2024-01-06,Bangalore,25,18
2024-01-07,Bangalore,26,19
2024-01-08,Chennai,32,25
2024-01-09,Chennai,33,26
2024-01-10,Delhi,8,1
2024-01-11,Mumbai,31,23
2024-01-12,Bangalore,24,17
2024-01-13,Chennai,34,27
2024-01-14,Delhi,6,-1
2024-01-15,Delhi,4,-2
2024-06-15,Delhi,45.5,32
2024-01-01,Delhi,12,5
2024-01-02,Delhi,14,6
2024-01-03,Delhi,10,3
2024-01-04,Mumbai,28,20
2024-01-05,Mumbai,30,22
2024-01-06,Bangalore,25,18
2024-01-07,Bangalore,26,19
2024-01-08,Chennai,32,25
2024-01-09,Chennai,33,26
2024-01-10,Delhi,8,1
2024-01-11,Mumbai,31,23
2024-01-12,Bangalore,24,17
2024-01-13,Chennai,34,27
2024-01-14,Delhi,6,-1
2024-01-15,Delhi,4,-2
2024-06-15,Delhi,45.5,32
2024-01-01,Delhi,12,5
2024-01-02,Delhi,14,6
2024-01-03,Delhi,10,3
2024-01-04,Mumbai,28,20
2024-01-05,Mumbai,30,22
2024-01-06,Bangalore,25,18
2024-01-07,Bangalore,26,19
2024-01-08,Chennai,32,25
2024-01-09,Chennai,33,26
2024-01-10,Delhi,8,1
